Syntax version=4
Sat Mar 16 08:56:33 2019
Starting process (2143480 clocks per sec)

LogRawData=false
VarHeader=1
D:		GlobalCommand	jointSet.JOINT1	jointSet.JOINT2	jointSet.JOINT3	jointSet.JOINT4	jointSet.JOINT5	jointMeasured.JOINT1	jointMeasured.JOINT2	jointMeasured.JOINT3	jointMeasured.JOINT4	jointMeasured.JOINT5	meaPosition.P.x	meaPosition.P.y	meaPosition.P.z	msTicks	Int_Cnt	dstPosition.P.x	dstPosition.P.y	dstPosition.P.z	TEST	CAL	BASE.DcMotor.State.measuredError	SHLDR.DcMotor.State.measuredError	ELBOW.DcMotor.State.measuredError	PITCH.DcMotor.State.measuredError	ROLL.DcMotor.State.measuredError	sqr_euclideDistance
D:	time(ms)	(0x20000024,1)	(0x200005d0,6)	(0x200005d4,6)	(0x200005d8,6)	(0x200005dc,6)	(0x200005e0,6)	(0x200005e4,6)	(0x200005e8,6)	(0x200005ec,6)	(0x200005f0,6)	(0x200005f4,6)	(0x2000064c,6)	(0x20000650,6)	(0x20000654,6)	(0x200003c0,4)	(0x20000018,4)	(0x2000061c,6)	(0x20000620,6)	(0x20000624,6)	(0x2000000e,0)	(0x2000000f,0)	(0x200003f0,7)	(0x20000458,7)	(0x200004c0,7)	(0x20000528,7)	(0x20000590,7)	(0x20000000,7)
D:	584.74	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4546	4545	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	621.99	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4583	4580	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	659.30	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4621	4620	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	702.41	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4663	4660	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	739.36	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4700	4700	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	785.27	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4747	4745	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	820.50	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4782	4780	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	855.68	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4817	4815	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	902.51	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4864	4860	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	939.84	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4901	4900	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	985.65	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4947	4945	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	1021.85	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4983	4980	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	1058.17	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	5020	5020	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
